,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
1 Ave & E 110 St,40.7923272,-73.9383,2449,2360820,770998,61,963.9934667211106
1 Ave & E 16 St,40.73221853,-73.98165557,14002,10707205,1630514,61,764.6911155549208
1 Ave & E 18 St,40.73381219196632,-73.9805442094803,10769,6826843,86418,61,633.9347200297149
1 Ave & E 30 St,40.74144387,-73.97536082,7855,5735468,168792,61,730.1677912157861
1 Ave & E 44 St,40.75001986,-73.96905301,7026,6609450,501019,61,940.7130657557643
1 Ave & E 62 St,40.761227399999996,-73.96094022,7896,6437422,95156,62,815.2763424518744
1 Ave & E 68 St,40.76500525,-73.95818491,11580,9146610,54497,61,789.8626943005181
1 Ave & E 78 St,40.77140426,-73.9535166,8445,5844948,18488,62,692.1193605683836
1 Ave & E 94 St,40.78172120000001,-73.94594000000001,2803,2315648,76094,67,826.1320014270425
1 Pl & Clinton St,40.6809591,-73.99905709,1775,1049452,6004,63,591.2405633802817
10 Hudson Yards,40.752957,-74.00264,843,897954,270597,84,1065.1886120996442
10 St & 5 Ave,40.6686273,-73.98700053,1204,891873,88428,66,740.7583056478405
10 St & 7 Ave,40.666207799999995,-73.98199886,2201,1375303,58242,62,624.8537028623354
11 Ave & W 27 St,40.751396,-74.00522600000001,9176,8760272,1947736,62,954.6939843068875
11 Ave & W 41 St,40.76030096,-73.99884222,9115,6726082,80152,61,737.9135490948985
11 Ave & W 59 St,40.771496710544405,-73.99046033620834,7905,7350116,52257,61,929.805945604048
11 St & 35 Ave,40.76274420000001,-73.9391141,250,205115,48391,65,820.46
11 St & 43 Ave,40.7519071,-73.94791190000001,413,332102,3719,64,804.1210653753027
12 Ave & W 40 St,40.76087502,-74.00277668,9542,11363167,350712,62,1190.857996227206
12 St & 4 Ave,40.668603000000004,-73.99043940000001,678,792125,187121,68,1168.325958702065
14 St & 5 Ave,40.666287,-73.98895053,1651,1206346,16380,71,730.6759539672926
14 St & 7 Ave,40.663779,-73.98396846,2287,1655991,117101,62,724.0887625710537
19 St & 24 Ave,40.777455200000006,-73.9225403,775,527137,10357,62,680.1767741935483
2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,873,1637119,181576,62,1875.2794959908363
2 Ave & 9 St,40.6724811,-73.99331394,635,485411,15578,78,764.4267716535433
2 Ave & E 104 St,40.789210499999996,-73.94370784,2169,1811238,238905,66,835.0567081604426
2 Ave & E 122 St,40.8006721,-73.9349,867,753991,78589,69,869.6551326412919
2 Ave & E 31 St,40.74290902,-73.97706058,10535,7778177,80215,61,738.3177028951116
2 Ave & E 72 St,40.7687620293096,-73.95840793848038,3827,2842220,91748,65,742.675725111053
2 Ave & E 96 St,40.7839636,-73.94716729999999,4427,3657100,531625,61,826.0899028687599
2 Ave & E 99 St,40.786258600000004,-73.94552579,1333,979513,49499,62,734.8184546136534
21 St & 31 Dr,40.7659,-73.930819,939,603598,45084,90,642.8093716719915
21 St & 36 Ave,40.760185299999996,-73.9362726,224,140219,3161,91,625.9776785714286
21 St & 38 Ave,40.7576314,-73.9391224,189,140411,4212,113,742.9153439153439
21 St & 43 Ave,40.75052534,-73.94594845,633,483644,11950,73,764.0505529225908
21 St & Hoyt Ave S,40.774645,-73.92370600000001,283,737302,437258,80,2605.3074204946997
21 St & Queens Plaza North,40.75325964,-73.94335788,1578,1174283,23013,64,744.159062103929
23 Ave & 27 St,40.776165,-73.9153175,366,209861,3860,78,573.3907103825137
24 Ave & 26 St,40.774591,-73.918544,828,949312,433848,78,1146.512077294686
24 Ave & 29 St,40.7729,-73.91614200000001,552,320135,8246,68,579.9547101449275
24 St & 41 Ave,40.752708500000004,-73.9397405,1122,804369,6418,67,716.9064171122994
27 Ave & 4 St,40.7747175,-73.93378940000001,215,181291,5438,95,843.2139534883721
27 Ave & 9 St,40.7739825,-73.93091340000001,322,276410,6363,71,858.416149068323
27 St & Hunter St,40.7485,-73.941275,1230,901310,12621,72,732.7723577235772
28 Ave & 35 St,40.7671,-73.9169858,809,518213,15312,68,640.5599505562423
28 Ave & 44 St,40.76408932350689,-73.9106512069702,627,1757224,1372092,108,2802.590111642743
28 St & 36 Ave,40.757186,-73.93271899999999,557,412265,10753,66,740.1526032315978
28 St & 38 Ave,40.754876,-73.934326,840,557077,27789,89,663.1869047619048
28 St & 41 Ave,40.751047,-73.93796999999999,1579,1353115,13535,64,856.9442685243826
3 Ave & 14 St,40.6685455,-73.99333264,915,766210,31638,74,837.3879781420765
3 Ave & E 100 St,40.787721399999995,-73.94728331,751,756683,199100,73,1007.5672436750999
3 Ave & E 112 St,40.795508,-73.94160600000001,764,737658,71326,68,965.520942408377
3 Ave & E 62 St,40.76312584,-73.96526895,3471,2476638,23394,63,713.5229040622299
3 Ave & E 71 St,40.76873687,-73.96119945,1592,3593643,2377708,63,2257.313442211055
3 Ave & E 72 St,40.7699426,-73.96060712,2033,1596425,87164,62,785.2557796360059
3 Ave & E 95 St,40.784596798848916,-73.94968539476396,1931,1394559,91118,65,722.1952356292077
3 Ave & Schermerhorn St,40.68683208,-73.9796772,2596,2021079,86695,62,778.5358243451464
3 St & 3 Ave,40.675070500000004,-73.98775226,2126,1395259,106543,65,656.2836312323612
3 St & 7 Ave,40.67038370000001,-73.97839676,1802,1136858,20226,63,630.8867924528302
3 St & Hoyt St,40.6777287,-73.99364123,1272,799264,16956,65,628.3522012578617
3 St & Prospect Park West,40.668132,-73.97363831,3545,2932252,78507,62,827.1514809590973
30 Ave & 21 St,40.77037429999999,-73.9286078,428,1223539,907299,93,2858.7359813084113
31 Ave & 14 St,40.7682,-73.9322662,529,304088,4382,68,574.8355387523629
31 Ave & 30 St,40.7647,-73.9240312,741,427012,11117,61,576.2645074224022
31 Ave & 34 St,40.763154,-73.920827,1238,1184674,430763,66,956.9256865912763
31 Ave & Crescent St,40.765834600000005,-73.9265474,750,550302,68018,77,733.736
31 Ave & Steinway St,40.76129389728909,-73.916916847229,957,657085,51150,71,686.6091954022988
31 St & 23 Ave,40.7747878,-73.91255509999999,2286,1914270,176788,64,837.3884514435696
31 St & 35 Ave,40.75820464696758,-73.92832159996033,344,178642,2854,85,519.3081395348837
31 St & Astoria Blvd,40.76991760000001,-73.91840570000001,1161,679978,26271,63,585.6830318690784
31 St & Broadway,40.761584,-73.925921,1771,1072222,42521,62,605.4330886504799
31 St & Hoyt Ave N,40.771152799999996,-73.9170074,836,686079,185224,61,820.6686602870814
31 St & Newtown Ave,40.7675487799971,-73.92093345522879,1432,993907,64361,65,694.0691340782123
31 St & Northern Blvd,40.75186951421875,-73.93349289894103,568,471508,7593,113,830.1197183098592
31 St & Thomson Ave,40.74469738,-73.93540375,869,1040563,11506,64,1197.4257767548906
34 Ave & 13 St,40.763875299999995,-73.9364848,295,199431,5621,61,676.0372881355933
34 Ave & 21 St,40.762813799999996,-73.9342862,578,425866,11036,61,736.7923875432526
34 Ave & 38 St,40.756913,-73.921631,2046,1376704,6729,67,672.8758553274682
34 St & 35 Ave,40.756933200000006,-73.92622309999999,725,464751,44762,61,641.0358620689656
35 Ave & 10 St,40.763154819103725,-73.93985509872438,509,305479,8209,65,600.1552062868369
35 Ave & 37 St,40.7557327,-73.92366109999999,884,726969,41709,62,822.3631221719457
35 St & 34 Ave,40.7580583,-73.92427509999999,573,305190,2992,62,532.6178010471205
35 St & Broadway,40.760339,-73.9222427,724,530458,70844,65,732.6767955801105
36 Ave & 10 St,40.7614376,-73.9411265,470,341522,4264,69,726.6425531914894
36 Ave & 31 St,40.75651272984955,-73.92957486212252,372,247078,5210,77,664.1881720430108
37 Ave & 35 St,40.7531106,-73.9279917,560,512610,34930,90,915.375
37 St & 24 Ave,40.7701477,-73.9120938,520,347191,6044,100,667.675
39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,476,873481,89512,66,1835.0441176470588
4 Ave & 2 St,40.674613422475815,-73.98501142859459,889,650146,56657,67,731.3228346456693
4 Ave & 9 St,40.6705135,-73.98876585,1463,2107790,519145,64,1440.7313738892685
40 Ave & 9 St,40.75742,-73.945133,458,408431,6418,63,891.7707423580786
40 Ave & Crescent St,40.7535992020056,-73.9379560947418,309,300765,72160,61,973.3495145631068
43 St & Broadway,40.7577284,-73.9166368,1159,975527,50621,94,841.6971527178603
44 Dr & 21 St,40.748000000000005,-73.94609270000001,2092,1385593,10569,65,662.3293499043978
44 Dr & Jackson Ave,40.74718234,-73.9432635,2154,2358251,564818,64,1094.8240482822655
45 Rd & 11 St,40.74708586,-73.94977234,2131,1433904,16076,71,672.8784608165181
46 Ave & 5 St,40.74731,-73.95451,2989,3035538,775798,74,1015.5697557711609
47 Ave & 31 St,40.743,-73.93561,744,851275,5592,77,1144.1868279569892
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,138,312908,207276,120,2267.449275362319
48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,410,425556,6892,65,1037.9414634146342
48 Ave & 5 St,40.74436328706688,-73.95587325096129,695,402575,6075,62,579.2446043165468
49 Ave & 21 St,40.74252,-73.948852,842,658675,46357,84,782.2743467933492
5 Ave & 3 St,40.672815500000006,-73.98352355,2690,2276024,144494,65,846.1055762081785
5 Ave & E 103 St,40.792255299999994,-73.95249933,3559,3720121,148949,62,1045.27142455746
5 Ave & E 126 St,40.806979999999996,-73.94174699999999,872,1122644,248264,68,1287.4357798165138
5 Ave & E 29 St,40.7451677,-73.98683077,9979,7846063,342470,61,786.2574406253132
5 Ave & E 63 St,40.766368,-73.971518,2774,3637545,84933,61,1311.2995674116798
5 Ave & E 73 St,40.77282817,-73.96685276,5928,7486215,338281,61,1262.8567813765183
5 Ave & E 78 St,40.77632142182271,-73.96427392959596,5646,8210676,276577,61,1454.2465462274176
5 Ave & E 88 St,40.78307,-73.95939,6421,10339937,568206,61,1610.3312568135805
5 Ave & E 93 St,40.785785100000005,-73.957481,2302,2829681,64771,64,1229.2271937445698
5 St & 51 Ave,40.7423737,-73.9566,615,538379,82875,63,875.4130081300813
5 St & 6 Ave,40.670483600000004,-73.98208968,1466,881363,27756,68,601.2025920873124
5 St & Market St,40.6999974843885,-73.97440128028394,815,676131,18410,65,829.6085889570552
58th St Depot,40.716909780459645,-73.98383796215056,6,6861,1787,473,1143.5
6 Ave & 12 St,40.666318100000005,-73.9854617,1525,1049504,60240,61,688.1993442622951
6 Ave & 9 St,40.668127,-73.98377641,2836,1844362,107918,61,650.3392101551481
6 Ave & Broome St,40.72430832160217,-74.00473035871983,2596,2562125,499439,61,986.9510785824345
6 Ave & Canal St,40.72243797,-74.00566443,7149,5888262,151681,62,823.6483424255141
6 Ave & Spring St,40.7252556952547,-74.00412082672119,5287,4036789,58607,62,763.5311140533383
6 Ave & W 33 St,40.74901271,-73.98848395,14525,11030559,526645,61,759.4188640275387
6 St & 7 Ave,40.668662700000006,-73.97988067,2046,1273875,11912,63,622.6173020527859
7 Ave & Central Park South,40.7667405590595,-73.9790689945221,4889,8381452,1034878,61,1714.3489466148496
7 Ave & Park Pl,40.67761470000001,-73.97324283,2584,1597382,152585,69,618.1818885448916
7 St & 3 Ave,40.67260298150126,-73.98983001708984,1011,812649,20753,71,803.8071216617211
7 St & 5 Ave,40.670492200000005,-73.98541675,1191,720875,11004,65,605.2686817800168
8 Ave & W 31 St,40.7505853470215,-73.9946848154068,20826,15953558,316828,61,766.0404302314415
8 Ave & W 33 St,40.751551,-73.993934,17269,12853917,152715,61,744.3347617117378
8 Ave & W 52 St,40.76370739,-73.9851615,8783,6841050,608623,61,778.8967323238073
9 Ave & W 22 St,40.7454973,-74.00197139,11452,8195357,541974,61,715.6267027593434
9 Ave & W 28 St,40.74937024193277,-73.99923384189607,7018,5638455,327970,61,803.4276147050442
9 Ave & W 45 St,40.76019252,-73.9912551,10562,8426752,340849,61,797.8367733383828
9 St & 44 Rd,40.74966,-73.9521,651,537461,39852,70,825.5929339477726
Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,964,1503602,544910,78,1559.753112033195
Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,1224,983868,16798,64,803.8137254901961
Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,1454,1177795,13548,66,810.0378266850068
Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,1187,4424925,1266532,65,3727.8222409435552
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,3913,3676258,763517,61,939.498594428827
Albany Ave & Fulton St,40.6800105,-73.938475,482,3674432,2679841,93,7623.302904564315
Allen St & Hester St,40.71605866,-73.99190759,7879,7663560,1334968,61,972.6564284807716
Allen St & Rivington St,40.72019576,-73.98997825,8791,6584825,180459,61,749.0416334887954
Allen St & Stanton St,40.722055,-73.989111,10679,8330419,385218,61,780.074819739676
Amsterdam Ave & W 119 St,40.8086249,-73.9596214,1393,1181631,11768,63,848.2634601579325
Amsterdam Ave & W 125 St,40.813358,-73.956461,1235,1992320,466594,93,1613.2145748987855
Amsterdam Ave & W 66 St,40.7746671,-73.98470567,2870,2203788,14265,65,767.8703832752614
Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,9709,7610600,244747,62,783.8706354928416
Amsterdam Ave & W 79 St,40.7829391,-73.9786517,5297,3803822,45055,61,718.1087407966774
Amsterdam Ave & W 82 St,40.78524672,-73.97667321,5663,4274738,38933,62,754.8539643298604
Astoria Park S & Shore Blvd,40.7767,-73.927631,637,471963,21482,81,740.9152276295133
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2096,2059781,327724,62,982.7199427480916
Atlantic Ave & Furman St,40.69165183,-73.99997859999999,2499,2756871,211145,73,1103.189675870348
Avenue C & E 18 St,40.730563000000004,-73.973984,1405,1570318,251213,64,1117.6640569395017
Avenue D & E 12 St,40.72580614,-73.97422494,2643,2181652,7539,66,825.4453272796065
Avenue D & E 3 St,40.72082834,-73.97793172,5379,4122704,142005,61,766.4443205056702
Avenue D & E 8 St,40.72368361,-73.97574813,4029,3277117,113357,61,813.3822288409034
Baltic St & 5 Ave,40.6795766,-73.97854971,2448,1664342,31849,74,679.8782679738562
Bank St & Hudson St,40.73652889,-74.00618026,6187,4379525,142471,63,707.8592209471473
Bank St & Washington St,40.7361967,-74.00859207,5329,4566482,75379,62,856.9116156877463
Banker St & Meserole Ave,40.72606,-73.95621,2788,2135627,207731,70,766.0068149210904
Barclay St & Church St,40.71291224,-74.01020234,5962,4416528,14781,61,740.779604159678
Barrow St & Hudson St,40.73172428,-74.00674436,10100,7385548,204955,61,731.2423762376237
Bayard St & Baxter St,40.71602118,-73.99974372,6396,5627848,602998,65,879.9011882426516
Bayard St & Leonard St,40.71915571696044,-73.94885390996933,1912,1025904,141289,62,536.560669456067
Bedford Ave & Bergen St,40.676368,-73.95291800000001,1941,1806614,180953,61,930.7645543534261
Bedford Ave & Nassau Ave,40.72311651,-73.95212324,4229,2708846,102629,61,640.5405533222984
Bedford Ave & S 9 St,40.70853074,-73.96408963,1078,873945,16543,68,810.7096474953618
Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,2285,2693276,775632,67,1178.6765864332604
Bergen St & Smith St,40.686744299999994,-73.99063168,5876,4217015,231467,78,717.6676310415248
Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,2675,1880345,17208,73,702.9327102803738
Berkeley Pl & 6 Ave,40.6765304,-73.97846879,1671,1215578,46593,65,727.4554159186116
Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,4061,2725440,72890,61,671.125338586555
Berry St & N 8 St,40.7190095,-73.95852515,4791,2988831,29942,63,623.8428303068252
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,3682,2785677,107575,62,756.5662683324281
Boerum St & Broadway,40.70538077,-73.94976519,1184,965045,79799,65,815.0717905405405
Bond St & Bergen St,40.6849668,-73.98620772,2298,1755461,318310,68,763.90818102698
Bond St & Fulton St,40.68962188790333,-73.98304268717766,3409,2981572,520007,62,874.6177764740393
Broad St & Bridge St,40.70365182,-74.01167797,2315,2171551,118022,61,938.034989200864
Broadway & 12 St,40.7668,-73.93477740000002,674,610371,63355,62,905.5949554896142
Broadway & Battery Pl,40.70463334,-74.01361706,7090,7559985,183500,61,1066.2884344146685
Broadway & Berry St,40.71044554,-73.96525063,4025,3040606,89133,61,755.4300621118012
Broadway & E 14 St,40.73454567,-73.99074142,18098,11330742,87843,62,626.0770250856448
Broadway & E 22 St,40.740343200000005,-73.98955109,19696,13845120,298356,61,702.9406986190089
Broadway & Moylan Pl,40.8143256,-73.9590255,2038,3045939,518765,61,1494.572620215898
Broadway & Roebling St,40.70924826276157,-73.96063148975372,3774,2075788,65242,63,550.0233174350822
Broadway & W 122 St,40.8120562,-73.9612547,965,1144198,183885,66,1185.6974093264248
Broadway & W 25 St,40.74286877312112,-73.98918628692627,14746,11213166,217346,61,760.4208598942085
Broadway & W 29 St,40.7462009,-73.98855723,11117,7720171,152924,61,694.4473329135558
Broadway & W 32 St,40.74854862,-73.98808416,11429,9748289,1303733,61,852.9433021261702
Broadway & W 36 St,40.75097711,-73.98765428,7731,6954564,1330980,61,899.5684904928211
Broadway & W 37 St,40.75172632,-73.98753523,4678,4172336,281720,61,891.9059427105601
Broadway & W 38 St,40.75299641,-73.98721619,8043,6112373,137008,61,759.9618301628745
Broadway & W 41 St,40.75513557,-73.98658032,14343,11637314,1034663,61,811.3584326849334
Broadway & W 49 St,40.76068327096592,-73.98452728986742,12172,7826093,71143,61,642.9586756490305
Broadway & W 51 St,40.76228826,-73.98336183,7356,5078136,183592,61,690.3393148450244
Broadway & W 53 St,40.76344058,-73.98268129,6965,4835215,257393,61,694.2160804020101
Broadway & W 56 St,40.7652654,-73.98192338,13634,11034855,1427844,61,809.3629895848613
Broadway & W 60 St,40.76915505,-73.98191841,14519,13191047,538737,61,908.5368827054205
Broadway & Whipple St,40.7016657,-73.9437303,1504,1276300,47862,62,848.6037234042553
Bus Slip & State St,40.701907,-74.013942,2944,4212253,572979,62,1430.7924592391305
Bushwick Ave & Powers St,40.71247661,-73.94100005,1777,2144234,368656,66,1206.6595385481148
Butler St & Court St,40.6849894,-73.99440329,1744,1219877,11803,67,699.4707568807339
Cadman Plaza E & Johnson St,40.69531727766904,-73.99015724658966,1541,1541709,328204,61,1000.4600908500973
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,3676,3508737,143333,61,954.4986398258977
Cadman Plaza West & Montague St,40.69383,-73.990539,4114,2549455,75560,61,619.7022362664073
Cambridge Pl & Gates Ave,40.68488,-73.96304,1515,1304879,334585,72,861.3062706270628
Canal St & Rutgers St,40.71427487,-73.98990025,10147,6587967,74663,61,649.2526855228147
Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,2388,1955867,176745,63,819.0397822445561
Carlton Ave & Flushing Ave,40.697787,-73.973736,1780,1491785,60033,62,838.0814606741573
Carlton Ave & Park Ave,40.69580705,-73.97355569,1835,1784995,369216,61,972.7493188010899
Carmine St & 6 Ave,40.73038599,-74.00214988,13160,10473509,199615,61,795.8593465045593
Carroll St & 5 Ave,40.6751622,-73.9814832,2105,1275979,6981,65,606.1657957244655
Carroll St & 6 Ave,40.6740886,-73.9787282,3203,2204810,320396,62,688.357789572276
Carroll St & Bond St,40.6786115,-73.99037292,2132,1410054,65469,62,661.3761726078799
Carroll St & Columbia St,40.6830456,-74.00348559,1712,1314749,71458,92,767.9608644859813
Carroll St & Franklin Ave,40.6679411,-73.9588,386,309511,20139,67,801.8419689119171
Carroll St & Smith St,40.680611,-73.99475825,3712,2483347,68289,65,669.0051185344828
Carroll St & Washington Ave,40.6686744,-73.9618148,537,367962,6034,62,685.2178770949721
Cathedral Pkwy & Broadway,40.804213,-73.96699104,2999,3038780,111707,61,1013.2644214738247
Catherine St & Monroe St,40.71117444,-73.99682619,4572,3591637,500459,67,785.57239720035
Center Blvd & 48 Ave,40.745038,-73.957539,1144,1261260,160965,61,1102.5
Center Blvd & 51 Ave,40.74336608027021,-73.95960688591003,785,856424,224658,62,1090.9859872611464
Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,4150,7258298,365014,61,1748.9874698795181
Central Park S & 6 Ave,40.76590936,-73.97634151,9609,13412768,368839,61,1395.8547195337703
Central Park W & W 96 St,40.791270000000004,-73.964839,5260,5922576,265683,61,1125.9650190114069
Central Park West & W 100 St,40.794066608185524,-73.96286845207214,2977,3917644,173946,61,1315.970440040309
Central Park West & W 102 St,40.795346,-73.96186,1824,1841443,39342,61,1009.563048245614
Central Park West & W 68 St,40.7734066,-73.97782542,7223,7158712,193168,61,991.0995431261249
Central Park West & W 72 St,40.77579376683666,-73.97620573639871,8086,8785138,197775,61,1086.4627751669552
Central Park West & W 76 St,40.77896784,-73.97374737,5146,6913123,319211,62,1343.397396035756
Central Park West & W 85 St,40.78472675,-73.96961715,6244,6954515,203077,61,1113.7916399743754
Centre St & Chambers St,40.71273266,-74.0046073,9302,10454054,191824,62,1123.8501397548914
Centre St & Worth St,40.71494807,-74.00234482,3644,3593725,354778,61,986.2033479692645
Cherry St,40.71219906,-73.97948148,3133,2918286,23577,64,931.466964570699
Christopher St & Greenwich St,40.73291553,-74.00711384,13349,10961224,764743,61,821.1269758034309
Clark St & Henry St,40.69760127,-73.99344559,6255,4633541,516780,66,740.7739408473221
Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,2588,1758172,33522,62,679.355486862442
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2279,1352350,70780,61,593.3962264150944
Clermont Ave & Park Ave,40.69573398,-73.97129668,1630,1160217,177159,61,711.7895705521472
Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,12717,10196064,612530,61,801.7664543524417
Cliff St & Fulton St,40.70831794366396,-74.0050408244133,5732,4479319,56103,62,781.4583042568039
Clinton Ave & Flushing Ave,40.69794,-73.96986848,1240,1387015,190088,63,1118.5604838709678
Clinton Ave & Myrtle Ave,40.693261,-73.968896,4823,3175694,122024,61,658.4478540327597
Clinton St & 4 Place,40.6783563,-74.00014502,1693,1210403,41181,74,714.9456585942114
Clinton St & Centre St,40.67434,-74.00194698,455,322728,26141,67,709.2923076923076
Clinton St & Grand St,40.71559509,-73.9870295,9705,6303659,323746,61,649.5269448737764
Clinton St & Joralemon St,40.69239502,-73.99337909,4573,3426375,308336,63,749.2619724469713
Clinton St & Union St,40.683116399999996,-73.99785267,2351,1443875,152643,61,614.1535516801362
Coffey St & Conover St,40.677236,-74.015665,841,812328,14530,67,965.9072532699167
Columbia Heights & Cranberry St,40.70037867,-73.99548059,1221,1181460,142592,62,967.6167076167076
Columbia St & Degraw St,40.6859296,-74.00242364,1668,2182986,330913,64,1308.7446043165467
Columbia St & Kane St,40.68763155,-74.0016256,1505,1119153,41051,62,743.6232558139535
Columbia St & Lorraine St,40.6747055,-74.00755720000001,221,180074,6989,65,814.8144796380091
Columbia St & Rivington St,40.71739973,-73.98016555,4524,3235008,22375,63,715.0769230769231
Columbia St & W 9 St,40.6769993,-74.00647134,519,515996,114898,61,994.2119460500963
Columbus Ave & W 103 St,40.7969347,-73.9643412291,1073,993425,37833,61,925.838769804287
Columbus Ave & W 72 St,40.7770575,-73.97898475,10882,8040124,181930,61,738.8461679838265
Columbus Ave & W 95 St,40.7919557,-73.968087,5865,4287783,53963,61,731.0797953964194
Commerce St & Van Brunt St,40.681211700000006,-74.00860912,511,410909,54512,90,804.1272015655577
Concord St & Bridge St,40.69766564,-73.98476437,1326,1870841,670512,69,1410.8906485671191
Congress St & Clinton St,40.6881529,-73.99520919,2790,1977120,165354,63,708.6451612903226
Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,13755,8791925,175054,61,639.1802980734278
Court St & Nelson St,40.6763947,-73.99869893,1289,1269135,365484,62,984.588828549263
Court St & State St,40.6902375,-73.99203074,5063,4460970,958795,62,881.0922378036737
Crescent St & 30 Ave,40.768692,-73.9249574,590,343922,3166,84,582.9186440677967
Crescent St & 34 Ave,40.76108,-73.930562,801,499008,35827,61,622.9812734082396
